mov_basename,date_time,num_frames,duration,file_size
CAMHDA301-20190201T193000,2019-02-01T19:30:00,27066,903.102201856,15968247127
CAMHDA301-20190201T194500,2019-02-01T19:45:00,26874,896.695795712,15830590039
CAMHDA301-20190201T200000,2019-02-01T20:00:00,26968,899.832283136,15480071227
CAMHDA301-20190201T201500,2019-02-01T20:15:00,26973,899.999072256,15484160423
CAMHDA301-20190201T203000,2019-02-01T20:30:00,27175,906.739187712,15874047039
CAMHDA301-20190201T204500,2019-02-01T20:45:00,26779,893.526016,15501241919
CAMHDA301-20190201T210000,2019-02-01T21:00:00,26967,899.798925312,16385594919
CAMHDA301-20190201T211500,2019-02-01T21:15:00,26947,899.131572224,15671648735
CAMHDA301-20190201T213000,2019-02-01T21:30:00,27005,901.066784768,15661560303
CAMHDA301-20190201T214500,2019-02-01T21:45:00,26971,899.932356608,15756923295
CAMHDA301-20190201T220000,2019-02-01T22:00:00,26974,900.03243008,16037154411
CAMHDA301-20190201T221500,2019-02-01T22:15:00,26966,899.765501952,15795132371
CAMHDA301-20190201T223000,2019-02-01T22:30:00,26972,899.965714432,15889056083
CAMHDA301-20190201T224500,2019-02-01T22:45:00,27102,904.3034112,15812959127
CAMHDA301-20190201T230000,2019-02-01T23:00:00,26942,898.964717568,15894503939
CAMHDA301-20190201T231500,2019-02-01T23:15:00,26868,896.495583232,15797185767
CAMHDA301-20190201T233000,2019-02-01T23:30:00,27085,903.736131584,15798548975
CAMHDA301-20190201T234500,2019-02-01T23:45:00,26874,896.695795712,15840806919
CAMHDA301-20190202T000000,2019-02-02T00:00:00,26954,899.365142528,17092229395
CAMHDA301-20190202T001500,2019-02-02T00:15:00,26982,900.299358208,17005767335
CAMHDA301-20190202T003000,2019-02-02T00:30:00,26970,899.898998784,17020988135
CAMHDA301-20190202T004500,2019-02-02T00:45:00,27036,902.101204992,16386418391
CAMHDA301-20190202T010000,2019-02-02T01:00:00,26939,898.864644096,16316947439
CAMHDA301-20190202T011500,2019-02-02T01:15:00,26925,898.397503488,16329762391
CAMHDA301-20190202T013000,2019-02-02T01:30:00,26994,900.699783168,16628182823
CAMHDA301-20190202T014500,2019-02-02T01:45:00,26981,900.266000384,16880857599
CAMHDA301-20190202T020000,2019-02-02T02:00:00,26984,900.366139392,16889686147
CAMHDA301-20190202T021500,2019-02-02T02:15:00,27051,902.60176896,15736603751
CAMHDA301-20190202T023000,2019-02-02T02:30:00,26883,896.9961472,17142237847
CAMHDA301-20190202T024500,2019-02-02T02:45:00,26947,899.131572224,17191183775
CAMHDA301-20190202T030000,2019-02-02T03:00:00,26971,899.932356608,17239803247
CAMHDA301-20190202T031500,2019-02-02T03:15:00,26983,900.332781568,16204212847
CAMHDA301-20190202T033000,2019-02-02T03:30:00,26983,900.332781568,15931492975
CAMHDA301-20190202T034500,2019-02-02T03:45:00,26969,899.865575424,15917938431
CAMHDA301-20190202T040000,2019-02-02T04:00:00,26976,900.099211264,15866688551
CAMHDA301-20190202T041500,2019-02-02T04:15:00,26965,899.732144128,15748303663
CAMHDA301-20190202T043000,2019-02-02T04:30:00,26989,900.532928512,15761798879
CAMHDA301-20190202T044500,2019-02-02T04:45:00,26964,899.698786304,15708297495
CAMHDA301-20190202T050000,2019-02-02T05:00:00,27141,905.604694016,15811671863
CAMHDA301-20190202T051500,2019-02-02T05:15:00,26797,894.126522368,15890121647
CAMHDA301-20190202T053000,2019-02-02T05:30:00,27129,905.204269056,15992643959
CAMHDA301-20190202T054500,2019-02-02T05:45:00,26819,894.86065664,15403193439
CAMHDA301-20190202T060000,2019-02-02T06:00:00,26976,900.099211264,15682693607
CAMHDA301-20190202T061500,2019-02-02T06:15:00,26968,899.832283136,15763219131
CAMHDA301-20190202T063000,2019-02-02T06:30:00,26967,899.798925312,15707463591
CAMHDA301-20190202T064500,2019-02-02T06:45:00,26978,900.165926912,15711711971
CAMHDA301-20190202T070000,2019-02-02T07:00:00,27095,904.069840896,15810380351
CAMHDA301-20190202T071500,2019-02-02T07:15:00,26832,895.294373888,15723328071
CAMHDA301-20190202T073000,2019-02-02T07:30:00,27079,903.53598464,15862380415
CAMHDA301-20190202T074500,2019-02-02T07:45:00,26899,897.530003456,15769465567
CAMHDA301-20190202T080000,2019-02-02T08:00:00,26985,900.39943168,15831873015
CAMHDA301-20190202T081500,2019-02-02T08:15:00,26927,898.464284672,16031707263
CAMHDA301-20190202T083000,2019-02-02T08:30:00,27157,906.138550272,15930163615
CAMHDA301-20190202T084500,2019-02-02T08:45:00,26815,894.727225344,15664855151
CAMHDA301-20190202T090000,2019-02-02T09:00:00,26961,899.598647296,15767411671
CAMHDA301-20190202T091500,2019-02-02T09:15:00,26963,899.66542848,15732522207
CAMHDA301-20190202T093000,2019-02-02T09:30:00,27000,900.899995648,15691807399
CAMHDA301-20190202T094500,2019-02-02T09:45:00,27099,904.203337728,15786168807
CAMHDA301-20190202T100000,2019-02-02T10:00:00,26815,894.727225344,15638950495
CAMHDA301-20190202T101500,2019-02-02T10:15:00,26963,899.66542848,15749886015
CAMHDA301-20190202T103000,2019-02-02T10:30:00,26997,900.79985664,15871115943
CAMHDA301-20190202T104500,2019-02-02T10:45:00,26977,900.132503552,15927780623
CAMHDA301-20190202T110000,2019-02-02T11:00:00,26980,900.23264256,15861863579
CAMHDA301-20190202T111500,2019-02-02T11:15:00,26953,899.331719168,15805771999
CAMHDA301-20190202T113000,2019-02-02T11:30:00,26964,899.698786304,15815592663
CAMHDA301-20190202T114500,2019-02-02T11:45:00,27075,903.402553344,15912420535
CAMHDA301-20190202T120000,2019-02-02T12:00:00,26868,896.495583232,15878970263
CAMHDA301-20190202T121500,2019-02-02T12:15:00,26993,900.666359808,15717134415
CAMHDA301-20190202T123000,2019-02-02T12:30:00,26967,899.798925312,15668649431
CAMHDA301-20190202T124500,2019-02-02T12:45:00,26970,899.898998784,15631305895
CAMHDA301-20190202T130000,2019-02-02T13:00:00,26979,900.199284736,15499497735
CAMHDA301-20190202T131500,2019-02-02T13:15:00,26961,899.598647296,15658832615
CAMHDA301-20190202T133000,2019-02-02T13:30:00,26969,899.865575424,15721397167
CAMHDA301-20190202T134500,2019-02-02T13:45:00,26972,899.965714432,15664086291
CAMHDA301-20190202T140000,2019-02-02T14:00:00,27072,903.302414336,15671764775
CAMHDA301-20190202T141500,2019-02-02T14:15:00,26897,897.463222272,15524868415
CAMHDA301-20190202T143000,2019-02-02T14:30:00,26975,900.06585344,15715653807
CAMHDA301-20190202T144500,2019-02-02T14:45:00,26969,899.865575424,15735745711
CAMHDA301-20190202T150000,2019-02-02T15:00:00,27016,901.43391744,15805391643
CAMHDA301-20190202T151500,2019-02-02T15:15:00,26917,898.13057536,15751400159
CAMHDA301-20190202T153000,2019-02-02T15:30:00,26993,900.666359808,15782967967
CAMHDA301-20190202T154500,2019-02-02T15:45:00,26934,898.69778944,15667695063
CAMHDA301-20190202T160000,2019-02-02T16:00:00,27120,904.903983104,16576121911
CAMHDA301-20190202T161500,2019-02-02T16:15:00,26849,895.861587968,16531533983
CAMHDA301-20190202T163000,2019-02-02T16:30:00,26985,900.39943168,16676682951
CAMHDA301-20190202T164500,2019-02-02T16:45:00,26957,899.465216,16420073743
CAMHDA301-20190202T170000,2019-02-02T17:00:00,26971,899.932356608,16530559791
CAMHDA301-20190202T171500,2019-02-02T17:15:00,26955,899.398500352,16636981239
CAMHDA301-20190202T173000,2019-02-02T17:30:00,27003,901.00006912,16308973623
CAMHDA301-20190202T174500,2019-02-02T17:45:00,27340,912.244670464,16077601083
CAMHDA301-20190202T180000,2019-02-02T18:00:00,26592,887.286398976,15357220391
CAMHDA301-20190202T181500,2019-02-02T18:15:00,26974,900.03243008,15497379259
CAMHDA301-20190202T183000,2019-02-02T18:30:00,26969,899.865575424,15442734207
CAMHDA301-20190202T184500,2019-02-02T18:45:00,26983,900.332781568,15669505519
CAMHDA301-20190202T190000,2019-02-02T19:00:00,26969,899.865575424,15846772527
CAMHDA301-20190202T191500,2019-02-02T19:15:00,27002,900.966711296,15849877219
CAMHDA301-20190202T193000,2019-02-02T19:30:00,26953,899.331719168,15818557695
CAMHDA301-20190202T194500,2019-02-02T19:45:00,26970,899.898998784,15927492135
CAMHDA301-20190202T200000,2019-02-02T20:00:00,26991,900.599709696,15756767479
CAMHDA301-20190202T201500,2019-02-02T20:15:00,26936,898.764505088,16403593955
CAMHDA301-20190202T203000,2019-02-02T20:30:00,26967,899.798925312,16444825655
CAMHDA301-20190202T204500,2019-02-02T20:45:00,27046,902.434848768,16301326459
